-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1990 through 12/31/2025 in LST
Location: latitude  34.04   longitude -4.99 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 575.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M
1990,1,1,2.85,10.39,77.28,2.93
1990,1,2,3.2131,11.57,78.08,2.83
1990,1,3,0.4236,8.51,88.46,6.4
1990,1,4,2.2567,7.86,86.65,5.11
1990,1,5,3.2599,8.04,77.58,3.01
1990,1,6,3.2136,9.31,67.68,3.58
1990,1,7,3.1956,9.7,66.75,2.08
1990,1,8,3.3341,9.14,72.52,3.5
1990,1,9,2.9374,9.07,73.17,5.42
1990,1,10,2.7214,8.46,75.48,3.4
1990,1,11,2.1434,7.65,78.91,2.05
1990,1,12,3.2957,8.48,74.08,2.47
1990,1,13,3.1469,8.82,69.08,2.91
1990,1,14,2.7528,8.35,74.45,1.72
1990,1,15,2.1173,8.12,80.76,2.59
1990,1,16,3.4543,9.19,69.19,3.13
1990,1,17,3.0115,9.27,66.39,2.67
1990,1,18,2.359,7.75,85.15,2.33
1990,1,19,3.629,8.06,77.54,1.82
1990,1,20,2.9798,6.63,74.5,3.84
1990,1,21,3.481,6.19,74.25,3.98
1990,1,22,3.6312,6.63,72.87,3.05
1990,1,23,3.859,7.41,61.07,1.95
1990,1,24,3.0235,8.21,69.67,2.1
1990,1,25,2.6515,10.34,86.9,1.73
1990,1,26,3.2918,10.37,78.67,1.65
1990,1,27,3.1898,10.93,65.11,3.55
1990,1,28,1.1134,8.44,84.84,5.45
1990,1,29,2.6366,7.83,80.78,3.6
1990,1,30,2.9388,9.16,74.01,2.02
1990,1,31,2.3366,10.24,78.59,5.67
1990,2,1,3.0574,10.19,85.79,3.18
1990,2,2,4.0481,11.53,71.56,2.53
1990,2,3,4.0476,12.52,73.92,2.97
1990,2,4,3.9694,14.67,65.92,2.37
1990,2,5,3.6629,14.42,63.15,3.51
1990,2,6,3.9353,14.05,66.86,2.71
1990,2,7,3.2479,15.18,62.57,2.65
1990,2,8,4.0452,14.22,62.92,2.04
1990,2,9,4.2929,14.98,56.96,2.95
1990,2,10,4.4086,14.22,67.85,2.85
1990,2,11,3.2278,11.73,83.44,2.49
1990,2,12,4.4779,9.9,78.54,2.56
1990,2,13,4.4402,10.05,73.95,2.09
1990,2,14,4.513,13.62,55.39,2.16
1990,2,15,4.5149,13.47,58.13,2.29
1990,2,16,4.5562,13.69,61.89,2.1
1990,2,17,4.5242,14.08,62.52,2.29
1990,2,18,4.7148,13.88,62.87,2.76
1990,2,19,4.8103,16.13,56.14,2.14
1990,2,20,4.8372,16.07,58.55,2.52
1990,2,21,4.5026,16.44,55.86,2.98
1990,2,22,4.734,16.28,47.63,5.27
1990,2,23,4.7837,15.67,45.57,4.73
1990,2,24,5.0546,15.87,45.38,4.19
1990,2,25,4.7755,14.15,65.23,2.76
1990,2,26,5.1473,14.37,66.65,2.08
1990,2,27,5.2872,14.08,65.28,2.3
1990,2,28,5.2754,16.48,59.52,2.2
1990,3,1,4.4474,14.47,72.13,2.8
1990,3,2,3.9314,13.3,80.06,1.83
1990,3,3,3.0636,13.34,76.55,4.71
1990,3,4,4.4016,14.69,59.43,3.72
1990,3,5,3.9242,15.36,58.74,3.31
1990,3,6,4.0447,16.58,55.51,4.88
1990,3,7,4.6582,17.13,58.14,3.9
1990,3,8,1.6154,14.08,79.81,2.19
1990,3,9,2.2361,14.01,81.46,4.23
1990,3,10,2.2138,16.83,66.47,6.03
1990,3,11,5.2704,16.91,65.81,3.67
1990,3,12,4.3901,14.47,76.44,2.82
1990,3,13,5.9011,15.06,71.54,2.2
1990,3,14,5.4499,15.39,66.72,2.13
1990,3,15,5.5375,15.75,55.98,4.54
1990,3,16,5.4358,17.22,49.93,4.76
1990,3,17,5.3479,17.2,47.5,3.09
1990,3,18,5.0062,17.69,48.68,3.15
1990,3,19,5.0009,18.27,47.92,3.32
1990,3,20,4.7755,19.3,50.98,4.13
1990,3,21,6.0732,19.59,48.51,3.85
1990,3,22,6.1212,18.73,49.7,3.03
1990,3,23,5.5469,18.85,49.39,3.33
1990,3,24,4.4244,13.93,70.86,4.2
1990,3,25,6.3636,14.59,66.92,3.26
1990,3,26,6.2678,16.24,57.27,4.08
1990,3,27,6.3125,16.26,57.52,3.68
1990,3,28,6.499,16.05,45.42,3.56
1990,3,29,6.0295,15.6,44.49,3.8
1990,3,30,2.6561,14.56,70.21,4.78
1990,3,31,5.3734,19.06,64.66,3.2
1990,4,1,2.6539,15.04,80.43,3.53
1990,4,2,5.569,13.31,75.97,3.22
1990,4,3,6.6408,12.49,69.35,2.18
1990,4,4,6.1567,14.45,62.9,2.63
1990,4,5,3.6235,15.84,64.5,2.97
1990,4,6,3.1082,12.89,77.27,5.37
